"DataSet","RNA","SampleID","Count","UID"
1,128,1,20521,1
1,32,1,7860,1
1,8,1,2180,1
1,2,1,565,1
1,0.5,1,74,1
1,0.125,1,50,1
1,128,2,23505,2
1,32,2,8361,2
1,8,2,2503,2
1,2,2,574,2
1,0.5,2,103,2
1,0.125,2,79,2
1,128,3,5330,3
1,32,3,1824,3
1,8,3,497,3
1,2,3,128,3
1,0.5,3,23,3
1,0.125,3,14,3
1,128,4,12327,4
1,32,4,4841,4
1,8,4,1377,4
1,2,4,347,4
1,0.5,4,69,4
1,0.125,4,40,4
1,128,5,14121,5
1,32,5,5382,5
1,8,5,1450,5
1,2,5,409,5
1,0.5,5,66,5
1,0.125,5,42,5
1,128,6,25715,6
1,32,6,8705,6
1,8,6,2456,6
1,2,6,607,6
1,0.5,6,103,6
1,0.125,6,68,6
1,128,7,16145,7
1,32,7,6780,7
1,8,7,1837,7
1,2,7,424,7
1,0.5,7,75,7
1,0.125,7,41,7
1,128,8,14302,8
1,32,8,6063,8
1,8,8,1639,8
1,2,8,398,8
1,0.5,8,67,8
1,0.125,8,42,8
1,128,9,18399,9
1,32,9,7575,9
1,8,9,2130,9
1,2,9,444,9
1,0.5,9,78,9
1,0.125,9,54,9
1,128,10,18917,10
1,32,10,7986,10
1,8,10,2255,10
1,2,10,482,10
1,0.5,10,87,10
1,0.125,10,42,10
1,128,11,13976,11
1,32,11,5925,11
1,8,11,1672,11
1,2,11,408,11
1,0.5,11,53,11
1,0.125,11,37,11
1,128,12,13446,12
1,32,12,5603,12
1,8,12,1563,12
1,2,12,366,12
1,0.5,12,59,12
1,0.125,12,32,12
1,128,13,14481,13
1,32,13,5726,13
1,8,13,1740,13
1,2,13,441,13
1,0.5,13,62,13
1,0.125,13,47,13
1,128,14,16488,14
1,32,14,6677,14
1,8,14,1861,14
1,2,14,478,14
1,0.5,14,58,14
1,0.125,14,38,14
1,128,15,18034,15
1,32,15,7268,15
1,8,15,2088,15
1,2,15,445,15
1,0.5,15,74,15
1,0.125,15,48,15
1,128,16,16091,16
1,32,16,6667,16
1,8,16,1771,16
1,2,16,446,16
1,0.5,16,78,16
1,0.125,16,40,16
1,128,17,19622,17
1,32,17,7968,17
1,8,17,2085,17
1,2,17,502,17
1,0.5,17,65,17
1,0.125,17,55,17
1,128,18,19160,18
1,32,18,7625,18
1,8,18,2133,18
1,2,18,468,18
1,0.5,18,93,18
1,0.125,18,53,18
1,128,19,17613,19
1,32,19,7070,19
1,8,19,1965,19
1,2,19,470,19
1,0.5,19,83,19
1,0.125,19,67,19
1,128,20,18282,20
1,32,20,7238,20
1,8,20,2032,20
1,2,20,483,20
1,0.5,20,74,20
1,0.125,20,76,20
1,128,21,23494,21
1,32,21,8878,21
1,8,21,2617,21
1,2,21,630,21
1,0.5,21,89,21
1,0.125,21,102,21
1,128,22,15151,22
1,32,22,6296,22
1,8,22,1765,22
1,2,22,415,22
1,0.5,22,84,22
1,0.125,22,64,22
1,128,23,12007,23
1,32,23,5281,23
1,8,23,1500,23
1,2,23,344,23
1,0.5,23,60,23
1,0.125,23,41,23
1,128,24,23257,24
1,32,24,8457,24
1,8,24,2386,24
1,2,24,579,24
1,0.5,24,96,24
1,0.125,24,82,24
1,128,25,16426,25
1,32,25,6691,25
1,8,25,1873,25
1,2,25,421,25
1,0.5,25,93,25
1,0.125,25,59,25
1,128,26,13994,26
1,32,26,5619,26
1,8,26,1597,26
1,2,26,455,26
1,0.5,26,71,26
1,0.125,26,55,26
1,128,27,15262,27
1,32,27,6337,27
1,8,27,1765,27
1,2,27,410,27
1,0.5,27,66,27
1,0.125,27,62,27
1,128,28,15068,28
1,32,28,6185,28
1,8,28,1653,28
1,2,28,439,28
1,0.5,28,72,28
1,0.125,28,40,28
1,128,29,15509,29
1,32,29,6349,29
1,8,29,1676,29
1,2,29,401,29
1,0.5,29,68,29
1,0.125,29,55,29
1,128,30,11837,30
1,32,30,4917,30
1,8,30,1325,30
1,2,30,328,30
1,0.5,30,63,30
1,0.125,30,35,30
1,128,31,4208,31
1,32,31,1993,31
1,8,31,526,31
1,2,31,116,31
1,0.5,31,29,31
1,0.125,31,12,31
1,128,32,6283,32
1,32,32,2905,32
1,8,32,694,32
1,2,32,146,32
1,0.5,32,27,32
1,0.125,32,22,32
1,128,33,8691,33
1,32,33,3971,33
1,8,33,976,33
1,2,33,215,33
1,0.5,33,33,33
1,0.125,33,26,33
1,128,34,8987,34
1,32,34,4276,34
1,8,34,1191,34
1,2,34,263,34
1,0.5,34,32,34
1,0.125,34,24,34
1,128,35,1409,35
1,32,35,567,35
1,8,35,164,35
1,2,35,48,35
1,0.5,35,13,35
1,0.125,35,9,35
1,128,36,10449,36
1,32,36,5044,36
1,8,36,1395,36
1,2,36,285,36
1,0.5,36,53,36
1,0.125,36,28,36
1,128,37,16300,37
1,32,37,7224,37
1,8,37,2036,37
1,2,37,465,37
1,0.5,37,60,37
1,0.125,37,37,37
1,128,38,17442,38
1,32,38,8326,38
1,8,38,2117,38
1,2,38,421,38
1,0.5,38,71,38
1,0.125,38,39,38
1,128,39,47472,39
1,32,39,15456,39
1,8,39,4886,39
1,2,39,1260,39
1,0.5,39,192,39
1,0.125,39,104,39
1,128,40,17442,40
1,32,40,8083,40
1,8,40,2258,40
1,2,40,481,40
1,0.5,40,66,40
1,0.125,40,45,40
1,128,41,18565,41
1,32,41,7801,41
1,8,41,2438,41
1,2,41,535,41
1,0.5,41,87,41
1,0.125,41,66,41
1,128,42,38435,42
1,32,42,14790,42
1,8,42,4496,42
1,2,42,963,42
1,0.5,42,163,42
1,0.125,42,102,42
1,128,43,1909,43
1,32,43,1061,43
1,8,43,257,43
1,2,43,84,43
1,0.5,43,16,43
1,0.125,43,8,43
1,128,44,3603,44
1,32,44,1704,44
1,8,44,479,44
1,2,44,109,44
1,0.5,44,18,44
1,0.125,44,15,44
1,128,45,4232,45
1,32,45,3136,45
1,8,45,647,45
1,2,45,145,45
1,0.5,45,26,45
1,0.125,45,21,45
1,128,46,2835,46
1,32,46,1792,46
1,8,46,427,46
1,2,46,106,46
1,0.5,46,20,46
1,0.125,46,13,46
1,128,47,53948,47
1,32,47,14107,47
1,8,47,4315,47
1,2,47,1049,47
1,0.5,47,212,47
1,0.125,47,127,47
1,128,48,80244,48
1,32,48,18978,48
1,8,48,6442,48
1,2,48,1702,48
1,0.5,48,318,48
1,0.125,48,173,48
1,128,49,13930,49
1,32,49,6662,49
1,8,49,1672,49
1,2,49,346,49
1,0.5,49,62,49
1,0.125,49,51,49
1,128,50,4037,50
1,32,50,2354,50
1,8,50,615,50
1,2,50,173,50
1,0.5,50,42,50
1,0.125,50,8,50
1,128,51,5109,51
1,32,51,2906,51
1,8,51,725,51
1,2,51,198,51
1,0.5,51,38,51
1,0.125,51,18,51
1,128,52,10653,52
1,32,52,5222,52
1,8,52,1399,52
1,2,52,356,52
1,0.5,52,58,52
1,0.125,52,41,52
1,128,53,20381,53
1,32,53,7820,53
1,8,53,2178,53
1,2,53,553,53
1,0.5,53,95,53
1,0.125,53,54,53
1,128,54,17585,54
1,32,54,6435,54
1,8,54,1977,54
1,2,54,484,54
1,0.5,54,72,54
1,0.125,54,38,54
1,128,55,16493,55
1,32,55,6670,55
1,8,55,1980,55
1,2,55,456,55
1,0.5,55,67,55
1,0.125,55,36,55
1,128,56,14767,56
1,32,56,6185,56
1,8,56,1688,56
1,2,56,372,56
1,0.5,56,56,56
1,0.125,56,42,56
1,128,57,15309,57
1,32,57,6193,57
1,8,57,1752,57
1,2,57,434,57
1,0.5,57,54,57
1,0.125,57,37,57
1,128,58,10643,58
1,32,58,4508,58
1,8,58,1285,58
1,2,58,294,58
1,0.5,58,52,58
1,0.125,58,35,58
1,128,59,11742,59
1,32,59,4641,59
1,8,59,1322,59
1,2,59,352,59
1,0.5,59,50,59
1,0.125,59,27,59
1,128,60,14410,60
1,32,60,5909,60
1,8,60,1765,60
1,2,60,393,60
1,0.5,60,59,60
1,0.125,60,40,60
1,128,61,33778,61
1,32,61,11625,61
1,8,61,3341,61
1,2,61,749,61
1,0.5,61,136,61
1,0.125,61,63,61
1,128,62,13215,62
1,32,62,5561,62
1,8,62,1659,62
1,2,62,317,62
1,0.5,62,57,62
1,0.125,62,35,62
1,128,63,11794,63
1,32,63,5327,63
1,8,63,1452,63
1,2,63,352,63
1,0.5,63,51,63
1,0.125,63,30,63
1,128,64,4451,64
1,32,64,1947,64
1,8,64,554,64
1,2,64,147,64
1,0.5,64,24,64
1,0.125,64,18,64
1,128,65,21296,65
1,32,65,7234,65
1,8,65,2167,65
1,2,65,575,65
1,0.5,65,85,65
1,0.125,65,71,65
1,128,66,15434,66
1,32,66,6052,66
1,8,66,1809,66
1,2,66,465,66
1,0.5,66,45,66
1,0.125,66,52,66
1,128,67,14043,67
1,32,67,7439,67
1,8,67,1721,67
1,2,67,358,67
1,0.5,67,63,67
1,0.125,67,26,67
1,128,68,11213,68
1,32,68,4574,68
1,8,68,1313,68
1,2,68,314,68
1,0.5,68,42,68
1,0.125,68,39,68
1,128,69,9950,69
1,32,69,7321,69
1,8,69,1329,69
1,2,69,293,69
1,0.5,69,63,69
1,0.125,69,27,69
1,128,70,9974,70
1,32,70,5899,70
1,8,70,1334,70
1,2,70,278,70
1,0.5,70,40,70
1,0.125,70,25,70
1,128,71,12112,71
1,32,71,4995,71
1,8,71,1459,71
1,2,71,362,71
1,0.5,71,55,71
1,0.125,71,35,71
1,128,72,12417,72
1,32,72,5648,72
1,8,72,1555,72
1,2,72,339,72
1,0.5,72,56,72
1,0.125,72,21,72
1,128,73,10611,73
1,32,73,5275,73
1,8,73,1385,73
1,2,73,300,73
1,0.5,73,62,73
1,0.125,73,30,73
1,128,74,11836,74
1,32,74,5488,74
1,8,74,1528,74
1,2,74,318,74
1,0.5,74,55,74
1,0.125,74,34,74
1,128,75,10646,75
1,32,75,4378,75
1,8,75,1244,75
1,2,75,260,75
1,0.5,75,53,75
1,0.125,75,28,75
1,128,76,6133,76
1,32,76,2235,76
1,8,76,797,76
1,2,76,193,76
1,0.5,76,27,76
1,0.125,76,26,76
1,128,77,14367,77
1,32,77,5609,77
1,8,77,1680,77
1,2,77,438,77
1,0.5,77,67,77
1,0.125,77,43,77
1,128,78,13868,78
1,32,78,5308,78
1,8,78,1451,78
1,2,78,386,78
1,0.5,78,60,78
1,0.125,78,42,78
1,128,79,9344,79
1,32,79,3631,79
1,8,79,965,79
1,2,79,266,79
1,0.5,79,41,79
1,0.125,79,23,79
1,128,80,11204,80
1,32,80,4078,80
1,8,80,1150,80
1,2,80,337,80
1,0.5,80,30,80
1,0.125,80,28,80
1,128,81,15671,81
1,32,81,6100,81
1,8,81,1752,81
1,2,81,403,81
1,0.5,81,66,81
1,0.125,81,40,81
1,128,82,14803,82
1,32,82,5629,82
1,8,82,1623,82
1,2,82,433,82
1,0.5,82,69,82
1,0.125,82,37,82
1,128,83,10500,83
1,32,83,4569,83
1,8,83,1302,83
1,2,83,263,83
1,0.5,83,49,83
1,0.125,83,29,83
1,128,84,9731,84
1,32,84,4338,84
1,8,84,1376,84
1,2,84,268,84
1,0.5,84,57,84
1,0.125,84,28,84
1,128,85,7802,85
1,32,85,3507,85
1,8,85,1020,85
1,2,85,215,85
1,0.5,85,32,85
1,0.125,85,20,85
1,128,86,9060,86
1,32,86,4066,86
1,8,86,1128,86
1,2,86,259,86
1,0.5,86,41,86
1,0.125,86,17,86
1,128,87,10542,87
1,32,87,4774,87
1,8,87,1308,87
1,2,87,299,87
1,0.5,87,52,87
1,0.125,87,35,87
1,128,88,8924,88
1,32,88,4038,88
1,8,88,1071,88
1,2,88,245,88
1,0.5,88,38,88
1,0.125,88,16,88
1,128,89,9681,89
1,32,89,4318,89
1,8,89,1279,89
1,2,89,301,89
1,0.5,89,58,89
1,0.125,89,52,89
1,128,90,10399,90
1,32,90,4617,90
1,8,90,1365,90
1,2,90,289,90
1,0.5,90,60,90
1,0.125,90,38,90
1,128,91,15077,91
1,32,91,6961,91
1,8,91,2081,91
1,2,91,543,91
1,0.5,91,93,91
1,0.125,91,73,91
1,128,92,11715,92
1,32,92,5286,92
1,8,92,1635,92
1,2,92,394,92
1,0.5,92,62,92
1,0.125,92,50,92
1,128,93,12817,93
1,32,93,5709,93
1,8,93,1828,93
1,2,93,381,93
1,0.5,93,58,93
1,0.125,93,56,93
1,128,94,15508,94
1,32,94,6666,94
1,8,94,2177,94
1,2,94,543,94
1,0.5,94,67,94
1,0.125,94,47,94
1,128,95,14430,95
1,32,95,6422,95
1,8,95,1994,95
1,2,95,493,95
1,0.5,95,77,95
1,0.125,95,54,95
1,128,96,13062,96
1,32,96,6087,96
1,8,96,1789,96
1,2,96,405,96
1,0.5,96,70,96
1,0.125,96,57,96
1,128,97,13406,97
1,32,97,6144,97
1,8,97,1821,97
1,2,97,429,97
1,0.5,97,57,97
1,0.125,97,47,97
1,128,98,14202,98
1,32,98,5957,98
1,8,98,1840,98
1,2,98,455,98
1,0.5,98,78,98
1,0.125,98,49,98
1,128,99,8770,99
1,32,99,2762,99
1,8,99,914,99
1,2,99,287,99
1,0.5,99,39,99
1,0.125,99,37,99
1,128,100,13882,100
1,32,100,5584,100
1,8,100,1554,100
1,2,100,358,100
1,0.5,100,64,100
1,0.125,100,24,100
1,128,101,9724,101
1,32,101,4284,101
1,8,101,1226,101
1,2,101,263,101
1,0.5,101,45,101
1,0.125,101,30,101
1,128,102,1388,102
1,32,102,583,102
1,8,102,137,102
1,2,102,49,102
1,0.5,102,16,102
1,0.125,102,8,102
1,128,103,12368,103
1,32,103,5697,103
1,8,103,1624,103
1,2,103,331,103
1,0.5,103,53,103
1,0.125,103,36,103
1,128,104,12849,104
1,32,104,6006,104
1,8,104,1709,104
1,2,104,348,104
1,0.5,104,61,104
1,0.125,104,39,104
1,128,105,14249,105
1,32,105,6288,105
1,8,105,1792,105
1,2,105,368,105
1,0.5,105,59,105
1,0.125,105,17,105
1,128,106,16907,106
1,32,106,7193,106
1,8,106,2074,106
1,2,106,440,106
1,0.5,106,66,106
1,0.125,106,54,106
1,128,107,15236,107
1,32,107,6749,107
1,8,107,1954,107
1,2,107,441,107
1,0.5,107,58,107
1,0.125,107,35,107
1,128,108,12913,108
1,32,108,5763,108
1,8,108,1562,108
1,2,108,366,108
1,0.5,108,47,108
1,0.125,108,23,108
1,128,109,23903,109
1,32,109,9557,109
1,8,109,2705,109
1,2,109,613,109
1,0.5,109,125,109
1,0.125,109,51,109
1,128,110,17148,110
1,32,110,6362,110
1,8,110,1861,110
1,2,110,481,110
1,0.5,110,77,110
1,0.125,110,65,110
1,128,111,14555,111
1,32,111,5652,111
1,8,111,1632,111
1,2,111,417,111
1,0.5,111,70,111
1,0.125,111,43,111
1,128,112,14471,112
1,32,112,5695,112
1,8,112,1674,112
1,2,112,422,112
1,0.5,112,66,112
1,0.125,112,40,112
1,128,113,14672,113
1,32,113,5786,113
1,8,113,1618,113
1,2,113,430,113
1,0.5,113,63,113
1,0.125,113,65,113
1,128,114,17685,114
1,32,114,6487,114
1,8,114,2033,114
1,2,114,465,114
1,0.5,114,72,114
1,0.125,114,57,114
1,128,115,12248,115
1,32,115,4595,115
1,8,115,1346,115
1,2,115,372,115
1,0.5,115,56,115
1,0.125,115,38,115
1,128,116,14074,116
1,32,116,5539,116
1,8,116,1744,116
1,2,116,433,116
1,0.5,116,70,116
1,0.125,116,46,116
1,128,117,18879,117
1,32,117,7128,117
1,8,117,2199,117
1,2,117,534,117
1,0.5,117,89,117
1,0.125,117,57,117
1,128,118,19077,118
1,32,118,7424,118
1,8,118,2144,118
1,2,118,549,118
1,0.5,118,76,118
1,0.125,118,45,118
1,128,119,13149,119
1,32,119,5171,119
1,8,119,1662,119
1,2,119,370,119
1,0.5,119,54,119
1,0.125,119,37,119
1,128,120,19619,120
1,32,120,7227,120
1,8,120,2105,120
1,2,120,539,120
1,0.5,120,88,120
1,0.125,120,64,120
1,128,121,14093,121
1,32,121,5290,121
1,8,121,1557,121
1,2,121,414,121
1,0.5,121,64,121
1,0.125,121,26,121
1,128,122,18289,122
1,32,122,7031,122
1,8,122,1908,122
1,2,122,390,122
1,0.5,122,78,122
1,0.125,122,38,122
1,128,123,4074,123
1,32,123,1532,123
1,8,123,495,123
1,2,123,123,123
1,0.5,123,21,123
1,0.125,123,14,123
1,128,124,24307,124
1,32,124,9383,124
1,8,124,2697,124
1,2,124,695,124
1,0.5,124,99,124
1,0.125,124,48,124
1,128,125,16241,125
1,32,125,6436,125
1,8,125,1945,125
1,2,125,461,125
1,0.5,125,77,125
1,0.125,125,32,125
1,128,126,20381,126
1,32,126,7986,126
1,8,126,2276,126
1,2,126,540,126
1,0.5,126,86,126
1,0.125,126,37,126
1,128,127,16282,127
1,32,127,6486,127
1,8,127,1867,127
1,2,127,433,127
1,0.5,127,66,127
1,0.125,127,35,127
1,128,128,16631,128
1,32,128,5701,128
1,8,128,1657,128
1,2,128,415,128
1,0.5,128,73,128
1,0.125,128,31,128
1,128,129,23998,129
1,32,129,8465,129
1,8,129,2302,129
1,2,129,631,129
1,0.5,129,114,129
1,0.125,129,59,129
1,128,130,27406,130
1,32,130,8825,130
1,8,130,2545,130
1,2,130,652,130
1,0.5,130,93,130
1,0.125,130,56,130
1,128,131,25733,131
1,32,131,8700,131
1,8,131,2609,131
1,2,131,682,131
1,0.5,131,112,131
1,0.125,131,63,131
1,128,132,21232,132
1,32,132,7029,132
1,8,132,2013,132
1,2,132,541,132
1,0.5,132,93,132
1,0.125,132,37,132
1,128,133,10183,133
1,32,133,3341,133
1,8,133,998,133
1,2,133,302,133
1,0.5,133,43,133
1,0.125,133,23,133
1,128,134,17643,134
1,32,134,5910,134
1,8,134,1749,134
1,2,134,452,134
1,0.5,134,69,134
1,0.125,134,42,134
1,128,135,15115,135
1,32,135,5493,135
1,8,135,1553,135
1,2,135,436,135
1,0.5,135,64,135
1,0.125,135,37,135
1,128,136,19108,136
1,32,136,6485,136
1,8,136,1817,136
1,2,136,512,136
1,0.5,136,81,136
1,0.125,136,51,136
1,128,137,15029,137
1,32,137,5502,137
1,8,137,1564,137
1,2,137,432,137
1,0.5,137,56,137
1,0.125,137,35,137
1,128,138,17339,138
1,32,138,6263,138
1,8,138,1882,138
1,2,138,481,138
1,0.5,138,61,138
1,0.125,138,41,138
1,128,139,18850,139
1,32,139,6946,139
1,8,139,2098,139
1,2,139,510,139
1,0.5,139,70,139
1,0.125,139,46,139
1,128,140,21301,140
1,32,140,8144,140
1,8,140,2388,140
1,2,140,558,140
1,0.5,140,79,140
