"DataSet","RNA","SampleID","Count","UID","SampleID_seq","dataset_seq","UID_seq","control","RNA_log10","Count_log10"
1,128,1,20521,1,1,1,1,"A",2.10720996964787,4.31221968327397
1,32,1,7860,1,1,1,1,"B",1.50514997831991,3.89547779627571
1,8,1,2180,1,1,1,1,"C",0.903089986991944,3.3386556655787
1,2,1,565,1,1,1,1,"D",0.301029995663981,2.75281643118827
1,0.5,1,74,1,1,1,1,"E",-0.301029995663981,1.8750612633917
1,0.125,1,50,1,1,1,1,"F",-0.903089986991944,1.70757017609794
1,128,2,23505,2,2,1,2,"A",2.10720996964787,4.37117873181629
1,32,2,8361,2,2,1,2,"B",1.50514997831991,3.9223101632144
1,8,2,2503,2,2,1,2,"C",0.903089986991944,3.39863432453839
1,2,2,574,2,2,1,2,"D",0.301029995663981,2.75966784468963
1,0.5,2,103,2,2,1,2,"E",-0.301029995663981,2.01703333929878
1,0.125,2,79,2,2,1,2,"F",-0.903089986991944,1.90308998699194
1,128,3,5330,3,3,1,3,"A",2.10720996964787,3.72680868252496
1,32,3,1824,3,3,1,3,"B",1.50514997831991,3.26126286879249
1,8,3,497,3,3,1,3,"C",0.903089986991944,2.69722934275972
1,2,3,128,3,3,1,3,"D",0.301029995663981,2.11058971029925
1,0.5,3,23,3,3,1,3,"E",-0.301029995663981,1.38021124171161
1,0.125,3,14,3,3,1,3,"F",-0.903089986991944,1.17609125905568
1,128,4,12327,4,4,1,4,"A",2.10720996964787,4.09089262571036
1,32,4,4841,4,4,1,4,"B",1.50514997831991,3.68502478510571
1,8,4,1377,4,4,1,4,"C",0.903089986991944,3.13924921757161
1,2,4,347,4,4,1,4,"D",0.301029995663981,2.54157924394658
1,0.5,4,69,4,4,1,4,"E",-0.301029995663981,1.84509804001426
1,0.125,4,40,4,4,1,4,"F",-0.903089986991944,1.61278385671974
1,128,5,14121,5,5,1,5,"A",2.10720996964787,4.14989620715876
1,32,5,5382,5,5,1,5,"B",1.50514997831991,3.73102437981569
1,8,5,1450,5,5,1,5,"C",0.903089986991944,3.16166741243774
1,2,5,409,5,5,1,5,"D",0.301029995663981,2.61278385671974
1,0.5,5,66,5,5,1,5,"E",-0.301029995663981,1.82607480270083
1,0.125,5,42,5,5,1,5,"F",-0.903089986991944,1.63346845557959
1,128,6,25715,6,6,1,6,"A",2.10720996964787,4.41020341708945
1,32,6,8705,6,6,1,6,"B",1.50514997831991,3.93981866282138
1,8,6,2456,6,6,1,6,"C",0.903089986991944,3.39040515648008
1,2,6,607,6,6,1,6,"D",0.301029995663981,2.78390357927274
1,0.5,6,103,6,6,1,6,"E",-0.301029995663981,2.01703333929878
1,0.125,6,68,6,6,1,6,"F",-0.903089986991944,1.83884909073726
1,128,7,16145,7,7,1,7,"A",2.10720996964787,4.2080649481474
1,32,7,6780,7,7,1,7,"B",1.50514997831991,3.83129374437701
1,8,7,1837,7,7,1,7,"C",0.903089986991944,3.26434550705009
1,2,7,424,7,7,1,7,"D",0.301029995663981,2.62838893005031
1,0.5,7,75,7,7,1,7,"E",-0.301029995663981,1.88081359228079
1,0.125,7,41,7,7,1,7,"F",-0.903089986991944,1.6232492903979
1,128,8,14302,8,8,1,8,"A",2.10720996964787,4.1554271386398
1,32,8,6063,8,8,1,8,"B",1.50514997831991,3.782759192624
1,8,8,1639,8,8,1,8,"C",0.903089986991944,3.2148438480477
1,2,8,398,8,8,1,8,"D",0.301029995663981,2.60097289568675
1,0.5,8,67,8,8,1,8,"E",-0.301029995663981,1.83250891270624
1,0.125,8,42,8,8,1,8,"F",-0.903089986991944,1.63346845557959
1,128,9,18399,9,9,1,9,"A",2.10720996964787,4.26481782300954
1,32,9,7575,9,9,1,9,"B",1.50514997831991,3.87943996599522
1,8,9,2130,9,9,1,9,"C",0.903089986991944,3.3285834497142
1,2,9,444,9,9,1,9,"D",0.301029995663981,2.64836001098093
1,0.5,9,78,9,9,1,9,"E",-0.301029995663981,1.89762709129044
1,0.125,9,54,9,9,1,9,"F",-0.903089986991944,1.74036268949424
1,128,10,18917,10,10,1,10,"A",2.10720996964787,4.27687522113155
1,32,10,7986,10,10,1,10,"B",1.50514997831991,3.90238368443247
1,8,10,2255,10,10,1,10,"C",0.903089986991944,3.3533390953113
1,2,10,482,10,10,1,10,"D",0.301029995663981,2.68394713075151
1,0.5,10,87,10,10,1,10,"E",-0.301029995663981,1.94448267215017
1,0.125,10,42,10,10,1,10,"F",-0.903089986991944,1.63346845557959
1,128,11,13976,11,11,1,11,"A",2.10720996964787,4.14541396516788
1,32,11,5925,11,11,1,11,"B",1.50514997831991,3.77276164714403
1,8,11,1672,11,11,1,11,"C",0.903089986991944,3.22349594096239
1,2,11,408,11,11,1,11,"D",0.301029995663981,2.61172330800734
1,0.5,11,53,11,11,1,11,"E",-0.301029995663981,1.73239375982297
1,0.125,11,37,11,11,1,11,"F",-0.903089986991944,1.57978359661681
1,128,12,13446,12,12,1,12,"A",2.10720996964787,4.12862540487595
1,32,12,5603,12,12,1,12,"B",1.50514997831991,3.74849812661374
1,8,12,1563,12,12,1,12,"C",0.903089986991944,3.19423674872383
1,2,12,366,12,12,1,12,"D",0.301029995663981,2.56466606425209
1,0.5,12,59,12,12,1,12,"E",-0.301029995663981,1.77815125038364
1,0.125,12,32,12,12,1,12,"F",-0.903089986991944,1.51851393987789
1,128,13,14481,13,13,1,13,"A",2.10720996964787,4.16082854314455
1,32,13,5726,13,13,1,13,"B",1.50514997831991,3.75792718311333
1,8,13,1740,13,13,1,13,"C",0.903089986991944,3.24079877111733
1,2,13,441,13,13,1,13,"D",0.301029995663981,2.64542226934909
1,0.5,13,62,13,13,1,13,"E",-0.301029995663981,1.79934054945358
1,0.125,13,47,13,13,1,13,"F",-0.903089986991944,1.68124123737559
1,128,14,16488,14,14,1,14,"A",2.10720996964787,4.2171943180065
1,32,14,6677,14,14,1,14,"B",1.50514997831991,3.82464641471835
1,8,14,1861,14,14,1,14,"C",0.903089986991944,3.26997967664532
1,2,14,478,14,14,1,14,"D",0.301029995663981,2.68033551341456
1,0.5,14,58,14,14,1,14,"E",-0.301029995663981,1.77085201164214
1,0.125,14,38,14,14,1,14,"F",-0.903089986991944,1.5910646070265
1,128,15,18034,15,15,1,15,"A",2.10720996964787,4.25611614665438
1,32,15,7268,15,15,1,15,"B",1.50514997831991,3.86147466885717
1,8,15,2088,15,15,1,15,"C",0.903089986991944,3.31993843998031
1,2,15,445,15,15,1,15,"D",0.301029995663981,2.64933485871214
1,0.5,15,74,15,15,1,15,"E",-0.301029995663981,1.8750612633917
1,0.125,15,48,15,15,1,15,"F",-0.903089986991944,1.69019608002851
1,128,16,16091,16,16,1,16,"A",2.10720996964787,4.20661002389922
1,32,16,6667,16,16,1,16,"B",1.50514997831991,3.82399559115597
1,8,16,1771,16,16,1,16,"C",0.903089986991944,3.24846371755103
1,2,16,446,16,16,1,16,"D",0.301029995663981,2.65030752313194
1,0.5,16,78,16,16,1,16,"E",-0.301029995663981,1.89762709129044
1,0.125,16,40,16,16,1,16,"F",-0.903089986991944,1.61278385671974
1,128,17,19622,17,17,1,17,"A",2.10720996964787,4.29276540385163
1,32,17,7968,17,17,1,17,"B",1.50514997831991,3.90140382682525
1,8,17,2085,17,17,1,17,"C",0.903089986991944,3.31931430409051
1,2,17,502,17,17,1,17,"D",0.301029995663981,2.70156798505593
1,0.5,17,65,17,17,1,17,"E",-0.301029995663981,1.81954393554187
1,0.125,17,55,17,17,1,17,"F",-0.903089986991944,1.7481880270062
1,128,18,19160,18,18,1,18,"A",2.10720996964787,4.28241817087765
1,32,18,7625,18,18,1,18,"B",1.50514997831991,3.88229680093765
1,8,18,2133,18,18,1,18,"C",0.903089986991944,3.32919441508845
1,2,18,468,18,18,1,18,"D",0.301029995663981,2.67117284271508
1,0.5,18,93,18,18,1,18,"E",-0.301029995663981,1.9731278535997
1,0.125,18,53,18,18,1,18,"F",-0.903089986991944,1.73239375982297
1,128,19,17613,19,19,1,19,"A",2.10720996964787,4.2458579920072
1,32,19,7070,19,19,1,19,"B",1.50514997831991,3.84948083724399
1,8,19,1965,19,19,1,19,"C",0.903089986991944,3.29358351349612
1,2,19,470,19,19,1,19,"D",0.301029995663981,2.6730209071289
1,0.5,19,83,19,19,1,19,"E",-0.301029995663981,1.92427928606188
1,0.125,19,67,19,19,1,19,"F",-0.903089986991944,1.83250891270624
1,128,20,18282,20,20,1,20,"A",2.10720996964787,4.26204745926143
1,32,20,7238,20,20,1,20,"B",1.50514997831991,3.85967857662845
1,8,20,2032,20,20,1,20,"C",0.903089986991944,3.30813737863804
1,2,20,483,20,20,1,20,"D",0.301029995663981,2.68484536164441
1,0.5,20,74,20,20,1,20,"E",-0.301029995663981,1.8750612633917
1,0.125,20,76,20,20,1,20,"F",-0.903089986991944,1.88649072517248
1,128,21,23494,21,21,1,21,"A",2.10720996964787,4.37097544935897
1,32,21,8878,21,21,1,21,"B",1.50514997831991,3.94836405598837
1,8,21,2617,21,21,1,21,"C",0.903089986991944,3.41796964221474
1,2,21,630,21,21,1,21,"D",0.301029995663981,2.80002935924413
1,0.5,21,89,21,21,1,21,"E",-0.301029995663981,1.95424250943932
1,0.125,21,102,21,21,1,21,"F",-0.903089986991944,2.01283722470517
1,128,22,15151,22,22,1,22,"A",2.10720996964787,4.1804699616592
1,32,22,6296,22,22,1,22,"B",1.50514997831991,3.79913369330206
1,8,22,1765,22,22,1,22,"C",0.903089986991944,3.24699069924155
1,2,22,415,22,22,1,22,"D",0.301029995663981,2.61909333062674
1,0.5,22,84,22,22,1,22,"E",-0.301029995663981,1.92941892571429
1,0.125,22,64,22,22,1,22,"F",-0.903089986991944,1.81291335664286
1,128,23,12007,23,23,1,23,"A",2.10720996964787,4.07947067923521
1,32,23,5281,23,23,1,23,"B",1.50514997831991,3.72279839687091
1,8,23,1500,23,23,1,23,"C",0.903089986991944,3.17638069224327
1,2,23,344,23,23,1,23,"D",0.301029995663981,2.53781909507327
1,0.5,23,60,23,23,1,23,"E",-0.301029995663981,1.78532983501077
1,0.125,23,41,23,23,1,23,"F",-0.903089986991944,1.6232492903979
1,128,24,23257,24,24,1,24,"A",2.10720996964787,4.36657236618312
1,32,24,8457,24,24,1,24,"B",1.50514997831991,3.92726768081088
1,8,24,2386,24,24,1,24,"C",0.903089986991944,3.37785241900675
1,2,24,579,24,24,1,24,"D",0.301029995663981,2.76342799356294
1,0.5,24,96,24,24,1,24,"E",-0.301029995663981,1.98677173426624
1,0.125,24,82,24,24,1,24,"F",-0.903089986991944,1.91907809237607
1,128,25,16426,25,25,1,25,"A",2.10720996964787,4.21555825714116
1,32,25,6691,25,25,1,25,"B",1.50514997831991,3.82555593229036
1,8,25,1873,25,25,1,25,"C",0.903089986991944,3.27276958655176
1,2,25,421,25,25,1,25,"D",0.301029995663981,2.62531245096167
1,0.5,25,93,25,25,1,25,"E",-0.301029995663981,1.9731278535997
1,0.125,25,59,25,25,1,25,"F",-0.903089986991944,1.77815125038364
1,128,26,13994,26,26,1,26,"A",2.10720996964787,4.14597290280218
1,32,26,5619,26,26,1,26,"B",1.50514997831991,3.74973631556906
1,8,26,1597,26,26,1,26,"C",0.903089986991944,3.20357677497797
1,2,26,455,26,26,1,26,"D",0.301029995663981,2.65896484266443
1,0.5,26,71,26,26,1,26,"E",-0.301029995663981,1.85733249643127
1,0.125,26,55,26,26,1,26,"F",-0.903089986991944,1.7481880270062
1,128,27,15262,27,27,1,27,"A",2.10720996964787,4.18363990422135
1,32,27,6337,27,27,1,27,"B",1.50514997831991,3.80195223485428
1,8,27,1765,27,27,1,27,"C",0.903089986991944,3.24699069924155
1,2,27,410,27,27,1,27,"D",0.301029995663981,2.61384182187607
1,0.5,27,66,27,27,1,27,"E",-0.301029995663981,1.82607480270083
1,0.125,27,62,27,27,1,27,"F",-0.903089986991944,1.79934054945358
1,128,28,15068,28,28,1,28,"A",2.10720996964787,4.17808443287921
1,32,28,6185,28,28,1,28,"B",1.50514997831991,3.79140991566716
1,8,28,1653,28,28,1,28,"C",0.903089986991944,3.21853550521653
1,2,28,439,28,28,1,28,"D",0.301029995663981,2.64345267648619
1,0.5,28,72,28,28,1,28,"E",-0.301029995663981,1.86332286012046
1,0.125,28,40,28,28,1,28,"F",-0.903089986991944,1.61278385671974
1,128,29,15509,29,29,1,29,"A",2.10720996964787,4.19061179781361
1,32,29,6349,29,29,1,29,"B",1.50514997831991,3.80277372529198
1,8,29,1676,29,29,1,29,"C",0.903089986991944,3.22453306260609
1,2,29,401,29,29,1,29,"D",0.301029995663981,2.60422605308447
1,0.5,29,68,29,29,1,29,"E",-0.301029995663981,1.83884909073726
1,0.125,29,55,29,29,1,29,"F",-0.903089986991944,1.7481880270062
