"NS.01.FFPE","NS.02.FFPE","NS.03.FFPE","NS.04.FFPE","NS.05.FFPE","NS.06.FFPE","NS.07.FFPE","NS.08.FFPE","NS.09.FFPE","NS.10.FFPE","NS.11.FFPE","NS.12.FFPE","NS.13.FFPE","NS.14.FFPE","NS.15.FFPE","NS.16.FFPE","NS.17.FFPE","NS.18.FFPE","NS.19.FFPE","NS.20.FFPE","NS.21.FFPE","NS.22.FFPE","NS.23.FFPE","NS.24.FFPE","NS.27.FFPE","NS.28.FFPE","NS.29.FFPE","NS.30.FFPE"
466,232,106,1510,82,240,388,175,208,246,289,234,625,16,122,77,176,255,98,228,511,250,214,219,25,6,364,164
1135,181,3702,796,344,1115,661,4477,427,2111,357,889,258,65,190,156,979,619,751,3545,7350,1578,375,150,122,13,3062,82
185,845,152,1663,50,388,46,68,85,66,61,262,367,7,23,23,63,227,61,200,287,255,144,162,13,6,466,108
3152,3627,6420,10468,3261,5024,1740,5742,6152,5666,1946,1811,1607,301,2541,2234,2916,4133,2790,4370,7177,4131,10205,3957,494,139,4599,1479
164,918,62,2851,161,488,81,392,198,1058,307,115,206,3,104,76,70,584,235,247,426,187,223,639,11,13,1080,216
164,124,170,348,101,63,198,554,350,271,107,35,45,5,37,60,133,253,165,317,484,417,221,58,16,1,349,60
167,71,164,234,229,107,387,925,385,567,97,37,19,13,44,116,386,205,286,839,633,512,538,25,20,1,549,65
595,4061,777,3595,172,1455,423,409,72,177,998,2360,760,11,1581,133,367,203,438,257,443,416,131,5495,65,85,323,2464
253,502,197,929,564,450,326,438,334,234,189,181,250,13,45,128,231,385,262,229,586,362,705,480,50,16,489,409
747,2642,1025,8598,1123,1608,2662,2736,1067,1324,490,1481,279,190,802,956,775,1553,1259,1458,2759,1132,1212,1544,96,40,2059,953
246,144,255,285,212,94,222,789,468,481,158,38,28,4,39,87,214,181,391,745,398,622,549,55,20,2,641,74
2518,1756,4061,6064,1502,2041,1767,3756,3715,3946,1721,1383,628,156,954,1481,3399,4108,2922,4443,6351,4732,4719,1016,219,31,3595,3615
110,54,87,468,110,203,75,39,192,101,67,51,24,11,25,88,53,235,232,130,243,133,382,87,2,6,160,56
364,243,427,571,225,255,452,2492,460,337,224,197,100,24,66,176,295,529,293,384,2151,413,455,212,31,10,522,135
347,110,488,457,154,95,568,721,377,1329,166,50,26,16,57,70,352,319,307,268,715,1035,466,52,22,7,517,52
216,62,359,217,112,69,269,653,651,395,128,33,16,29,55,79,291,204,135,441,496,812,286,27,17,2,689,27
616,236,489,610,560,122,289,1693,1201,960,270,67,54,27,250,387,883,394,454,1118,1839,997,1973,162,44,8,1138,172
39,311,263,2123,228,249,349,2077,215,254,61,36,46,8,53,52,261,164,149,107,322,324,506,795,33,27,785,339
1216,1367,447,2619,886,1103,500,4305,1374,1181,722,1237,451,42,501,280,1168,1830,688,859,3688,1242,1494,769,75,16,2855,725
